MID	mean	std
SERg0	78.22428571	1.870987952
SERg1	14.64285714	1.495944177
SERg2	5.114285714	0.596965114
SERg3	2.02	1.094649324
SERc0	80.62857143	2.081108417
SERc1	8.018571429	0.843740457
SERc2	2.732857143	0.405311671
SERc3	8.621428571	1.003756211
SERp0	24.66428571	3.578941811
SERp1	75.33571429	3.578941811
SERp2	0	0
SERp3	0	0
GLYg0	93.57571429	1.470294986
GLYg1	2.151428571	0.479685271
GLYg2	4.27	1.240184318
GLYc0	93.21285714	1.376504001
GLYc1	1.861428571	1.224656553
GLYc2	4.928571429	1.247344935
PGg0	86.02333333	4.300176999
PGg1	4.421666667	1.096196708
PGg2	2.79	2.107083292
PGg3	6.77	1.606165205
PGc0	82.80142857	2.335847528
PGc1	3.331428571	0.432779342
PGc2	0	0
PGc3	13.86571429	2.403775941
