MID	mean	std
SERg0	86.03	0.818535277
SERg1	12.49	1.33090195
SERg2	0.806666667	0.361432336
SERg3	0.673333333	1.166247544
SERc0	87.84666667	0.50639247
SERc1	5.513333333	0.778352962
SERc2	1.45	0.026457513
SERc3	5.193333333	0.303534732
SERp0	76.74666667	3.201504854
SERp1	21.02666667	3.425118003
SERp2	1.523333333	0.195021366
SERp3	0.706666667	0.056862407
GLYg0	98.92666667	0.551392177
GLYg1	0.756666667	0.350047616
GLYg2	0.316666667	0.301385689
GLYc0	96.23	1.106661647
GLYc1	1.233333333	0.537246064
GLYc2	2.533333333	0.649409989
PGg0	86.56333333	0.682373309
PGg1	2.873333333	0.444559707
PGg2	1.5	1.321022331
PGg3	9.066666667	1.568704349
PGc0	80.15	3.041430584
PGc1	0.833333333	1.443375673
PGc2	0	0
PGc3	19.01666667	3.083607195
