MID	mean	std
SERg0	88.43	1.575722057
SERg1	10.05333333	2.228908552
SERg2	0.66	0.319530906
SERg3	0.856666667	0.74473709
SERc0	87.84666667	0.50639247
SERc1	5.513333333	0.778352962
SERc2	1.45	0.026457513
SERc3	5.193333333	0.303534732
SERp0	76.74666667	3.201504854
SERp1	21.02666667	3.425118003
SERp2	1.523333333	0.195021366
SERp3	0.706666667	0.056862407
GLYg0	99.30333333	0.510130702
GLYg1	0.443333333	0.254034118
GLYg2	0.253333333	0.290229794
GLYc0	96.23	1.106661647
GLYc1	1.233333333	0.537246064
GLYc2	2.533333333	0.649409989
PGg0	82.8	0.377226722
PGg1	1.696666667	0.18036999
PGg2	1.326666667	0.231804515
PGg3	14.17666667	0.206478409
PGc0	80.15	3.041430584
PGc1	0.833333333	1.443375673
PGc2	0	0
PGc3	19.01666667	3.083607195
