MID	mean	std
SERg0	93.59	0.277308492
SERg1	5.556666667	0.219620885
SERg2	0.856666667	0.056862407
SERg3	0	0
SERc0	93.53	0.243310501
SERc1	2.863333333	0.468223593
SERc2	1.123333333	0.065064071
SERc3	2.483333333	0.240069434
SERp0	33.06666667	0.766311512
SERp1	66.93333333	0.766311512
SERp2	0	0
SERp3	0	0
GLYg0	98.76	0.278747197
GLYg1	0.853333333	0.274286954
GLYg2	0.386666667	0.335012438
GLYc0	97.94333333	0.732142973
GLYc1	1.446666667	0.68922662
GLYc2	0.613333333	1.062324495
PGg0	94.67666667	0.275015151
PGg1	1.023333333	0.196044213
PGg2	0	0
PGg3	4.3	0.266645833
PGc0	95.64333333	1.360747344
PGc1	1.616666667	1.415991996
PGc2	0	0
PGc3	2.743333333	0.126622799
