MID	mean	std
SERg0	89.97333333	0.592143001
SERg1	6.706666667	0.639557138
SERg2	0.84	0.399499687
SERg3	2.48	1.055319857
SERc0	90.07666667	0.332615895
SERc1	4.956666667	0.150443788
SERc2	1.416666667	0.05033223
SERc3	3.546666667	0.227229693
SERp0	44.57333333	2.136570461
SERp1	55.33333333	2.298202196
SERp2	0.093333333	0.161658075
SERp3	0	0
GLYg0	98.64	0.272213152
GLYg1	0.67	0.14
GLYg2	0.69	0.137477271
GLYc0	98.37	0.160934769
GLYc1	0	0
GLYc2	1.63	0.160934769
PGg0	85.48	0.538144962
PGg1	1.563333333	0.055075705
PGg2	1.17	0.055677644
PGg3	11.79	0.497594212
PGc0	86.84333333	0.22854613
PGc1	0.616666667	0.536873666
PGc2	0	0
PGc3	12.54	0.762692599
