MID	mean	std
SERg0	92.02333333	0.469183688
SERg1	6.103333333	0.52003205
SERg2	0.96	0.06244998
SERg3	0.913333333	0.090184995
SERc0	90.48	0.563205114
SERc1	5.97	0.445084262
SERc2	1	0.14525839
SERc3	2.553333333	0.258134332
SERp0	72.04333333	0.94732958
SERp1	27.95666667	0.94732958
SERp2	0	0
SERp3	0	0
GLYg0	99.1	0.105830052
GLYg1	0.013333333	0.015275252
GLYg2	0.886666667	0.101159939
GLYc0	98.35666667	0.220529665
GLYc1	0.23	0.157162336
GLYc2	1.413333333	0.070945989
PGg0	89.92333333	0.189296945
PGg1	0.446666667	0.057735027
PGg2	0.45	0.081853528
PGg3	9.176666667	0.070945989
PGc0	82.83666667	0.230289673
PGc1	0.663333333	0.040414519
PGc2	0.59	0.04
PGc3	15.91333333	0.19655364
