MID	mean	std
SERg0	89.41333333	1.500677625
SERg1	9.27	1.33502809
SERg2	1.316666667	0.470567034
SERg3	0	0
SERc0	84.18333333	4.126019066
SERc1	7.776666667	2.499846662
SERc2	0.676666667	0.253245599
SERc3	7.36	2.547076756
SERp0	33.23	2.410373415
SERp1	66.77	2.410373415
SERp2	0	0
SERp3	0	0
GLYg0	99.56666667	0.445458565
GLYg1	0	0
GLYg2	0.433333333	0.445458565
GLYc0	99.63	0.337194306
GLYc1	0	0
GLYc2	0.37	0.337194306
PGg0	87.33333333	0.411865674
PGg1	0	0
PGg2	0	0
PGg3	12.66666667	0.411865674
PGc0	81.21333333	0.158850034
PGc1	1.156666667	0.055075705
PGc2	0	0
PGc3	17.63333333	0.185831465
