MID	mean	std
SERg0	85.12666667	0.730775843
SERg1	8.416666667	0.689806736
SERg2	1.273333333	0.553202796
SERg3	5.186666667	0.542801376
SERc0	90.07666667	0.332615895
SERc1	4.956666667	0.150443788
SERc2	1.416666667	0.05033223
SERc3	3.546666667	0.227229693
SERp0	44.57333333	2.136570461
SERp1	55.33333333	2.298202196
SERp2	0.093333333	0.161658075
SERp3	0	0
GLYg0	99.45666667	0.941080939
GLYg1	0	0
GLYg2	0.543333333	0.941080939
GLYc0	98.37	0.160934769
GLYc1	0	0
GLYc2	1.63	0.160934769
PGg0	93.93666667	1.027537509
PGg1	0.5	0.452106182
PGg2	0.176666667	0.305995643
PGg3	5.383333333	0.321299445
PGc0	86.84333333	0.22854613
PGc1	0.616666667	0.536873666
PGc2	0	0
PGc3	12.54	0.762692599
