MID	mean	std
SERg0	91.03666667	1.331252543
SERg1	6.88	0.729177619
SERg2	2.086666667	0.600777274
SERg3	0	0
SERc0	84.18333333	4.126019066
SERc1	7.776666667	2.499846662
SERc2	0.676666667	0.253245599
SERc3	7.36	2.547076756
SERp0	33.23	2.410373415
SERp1	66.77	2.410373415
SERp2	0	0
SERp3	0	0
GLYg0	98.71333333	0.045092498
GLYg1	0	0
GLYg2	1.286666667	0.045092498
GLYc0	99.63	0.337194306
GLYc1	0	0
GLYc2	0.37	0.337194306
PGg0	87.46333333	0.070237692
PGg1	1.376666667	0.051316014
PGg2	0.946666667	0.083864971
PGg3	10.21666667	0.087368949
PGc0	81.21333333	0.158850034
PGc1	1.156666667	0.055075705
PGc2	0	0
PGc3	17.63333333	0.185831465
